s3,s4,s8,s11,s12,s13,s14,s20,s21,s2,s7,s9,s15,s17,s6
1,1,1,1,1,0,1,1,0,0,0,0,0.02,0,0.03
1,1,1,1,1,0,1,0.473684211,0,0,0,0,0.02,0,0.01
0.96875,0.947916667,0.8,0.6875,0.75,0.8,0.927083333,0.6875,0.01,0.147916667,0.34375,0.15625,0.01,0,0.02
0.986842105,0.8,0.394736842,1,0.407894737,0.8,0.394736842,0.092105263,0.01,0.068421053,0.394736842,0,0.02,0,0.05
1,1,1,1,1,0,1,0,0,0.391176471,0,0.191176471,0.02,0,0.05
1,1,1,1,1,0,1,0.626666667,0,0,0,0,0.03,0,0.01
1,0.761538462,0.8,0.446153846,0.515384615,0.8,1,0.353846154,0.02,0.015384615,0.461538462,0,0,0,0.04
0.941176471,1,1,0.838235294,0.838235294,0.477941176,1,0.639705882,0.02,0.045588235,0.1,0.323529412,0.02,0,0.03
1,1,1,1,1,0.44,1,0.6,0.02,0,0,0.76,0.01,0,0.02
1,1,1,0.74691358,0.814814815,0.7,1,0.37654321,0,0,0.1,0.259259259,0,0,0
1,1,1,1,0.962264151,0,1,0.264150943,0.02,0,0,0,0.02,0,0.01
0.991477273,0.8,0.8,1,0.75,0.8,0.741477273,0.213068182,0,0.114772727,0.372159091,0.267045455,0.01,0,0
1,1,1,1,1,0,1,0.125,0.02,0.2,0,0,0.02,0,0.02
1,1,1,1,1,0,1,0.97826087,0.02,0,0,0,0.01,0,0.03
1,0.8,0.8,1,0.481927711,0.855421687,1,0.397590361,0.01,0,0.313253012,0.048192771,0.01,0.060240964,0.04
1,1,1,0.02962963,0.688888889,1,0.414814815,0.044444444,0.02,0.188888889,0,0.259259259,0.03,0,0.01
1,1,1,1,1,0,1,0.019417476,0.02,0,0,0,0,0,0.02
0.828571429,1,1,0.838095238,0.8,0.855421687,1,0,0.01,0,0.1,0.380952381,0.02,0,0.05
0.993506494,0.88961039,0.883116883,0.623376623,0.649350649,0.855421687,1,0.402597403,0,0,0.1,0,0.01,0,0
1,0.991525424,0.991525424,0.991525424,0.991525424,0.008474576,1,0.355932203,0.01,0.361016949,0.991525424,0.161016949,0.02,0,0.04
1,1,1,1,1,0,1,1,0.01,0,0,0,0,0,0
1,0.84,0.89,0.45,0.62,0.75,1,0.47,0.01,0,0.32,0.37,0.01,0,0.02
1,0.205128205,0.205128205,0.224358974,0.685897436,1,0.551282051,0.25,0,0.334615385,0.096153846,0.448717949,0,0,0.02
1,0.971264368,0.994252874,1,0.666666667,1,1,0.603448276,0.02,0.211494253,0.252873563,0.436781609,0.02,0.149425287,0.04
1,0.8,0.8,0.3984375,0.4453125,0.8,1,0.0078125,0.01,0.35625,0.1,0.0703125,0,0,0.04
0.822695035,0.645390071,0.8,1,0.617021277,0.7,0.70212766,0.446808511,0,0.012056738,0.2,0.106382979,0.02,0.021276596,0.05
1,0.8,0.8,1,0.863799283,0.7,1,0.204301075,0.035842294,0.302150538,0.2,0.164874552,0.03,0.0609319,0.03
1,1,1,0.765217391,0.765217391,0.7,1,0.547826087,0.313043478,0.256521739,0.2,0.426086957,0.02,0,0.01
