Engine_id,opt_method,RMSE
FD001,no_optimizer,13.54735972
FD001,no_optimizer,14.28760575
FD001,no_optimizer,12.09533299
FD001,no_optimizer,15.07884882
FD001,no_optimizer,15.25241699
FD001,no_optimizer,15.00160588
FD001,no_optimizer,15.26674891
FD001,no_optimizer,13.77295088
FD001,no_optimizer,14.51907359
FD001,no_optimizer,15.57805652
FD001,BCTA_only,13.21963165
FD001,BCTA_only,14.92919381
FD001,BCTA_only,13.95311128
FD001,BCTA_only,13.94220547
FD001,BCTA_only,12.83214935
FD001,BCTA_only,15.05143943
FD001,BCTA_only,12.33084225
FD001,BCTA_only,12.50278127
FD001,BCTA_only,14.26314737
FD001,BCTA_only,13.67549813
FD001,BCTA+BTCN,10.56878964
FD001,BCTA+BTCN,11.87298443
FD001,BCTA+BTCN,13.00370073
FD001,BCTA+BTCN,11.64016886
FD001,BCTA+BTCN,13.34773202
FD001,BCTA+BTCN,14.00152718
FD001,BCTA+BTCN,11.32255326
FD001,BCTA+BTCN,12.64502947
FD001,BCTA+BTCN,11.72303252
FD001,BCTA+BTCN,13.77448185
FD002,no_optimizer,18.05090182
FD002,no_optimizer,17.8593656
FD002,no_optimizer,20.54644203
FD002,no_optimizer,16.79369276
FD002,no_optimizer,18.94843709
FD002,no_optimizer,19.77162887
FD002,no_optimizer,15.49416604
FD002,no_optimizer,18.78610044
FD002,no_optimizer,20.0536948
FD002,no_optimizer,16.99557055
FD002,BCTA_only,18.11691866
FD002,BCTA_only,18.51516177
FD002,BCTA_only,18.27355729
FD002,BCTA_only,17.88373335
FD002,BCTA_only,17.34862337
FD002,BCTA_only,19.30973348
FD002,BCTA_only,17.36172137
FD002,BCTA_only,19.20569444
FD002,BCTA_only,18.99638797
FD002,BCTA_only,17.88846832
FD002,BCTA+BTCN,18.71381789
FD002,BCTA+BTCN,17.04559165
FD002,BCTA+BTCN,17.57011306
FD002,BCTA+BTCN,19.48554804
FD002,BCTA+BTCN,18.05339603
FD002,BCTA+BTCN,17.89622228
FD002,BCTA+BTCN,17.82039744
FD002,BCTA+BTCN,17.40517414
FD002,BCTA+BTCN,18.28030852
FD002,BCTA+BTCN,18.129431
FD003,no_optimizer,13.97167737
FD003,no_optimizer,14.65180728
FD003,no_optimizer,15.58801385
FD003,no_optimizer,11.55301236
FD003,no_optimizer,13.47238073
FD003,no_optimizer,14.75171276
FD003,no_optimizer,14.8424408
FD003,no_optimizer,14.69651227
FD003,no_optimizer,15.22240951
FD003,no_optimizer,15.85003307
FD003,BCTA_only,13.14219345
FD003,BCTA_only,10.65253666
FD003,BCTA_only,11.87547715
FD003,BCTA_only,10.56612343
FD003,BCTA_only,12.79326701
FD003,BCTA_only,13.34049462
FD003,BCTA_only,11.17703419
FD003,BCTA_only,11.44554734
FD003,BCTA_only,13.78337412
FD003,BCTA_only,13.02395208
FD003,BCTA+BTCN,11.58976865
FD003,BCTA+BTCN,13.16452898
FD003,BCTA+BTCN,10.64938793
FD003,BCTA+BTCN,13.06316892
FD003,BCTA+BTCN,10.59028992
FD003,BCTA+BTCN,12.67484885
FD003,BCTA+BTCN,12.2620809
FD003,BCTA+BTCN,10.52431657
FD003,BCTA+BTCN,10.70807474
FD003,BCTA+BTCN,10.37353453
FD004,no_optimizer,19.17684681
FD004,no_optimizer,20.04728434
FD004,no_optimizer,21.59605316
FD004,no_optimizer,19.88950801
FD004,no_optimizer,22.00873535
FD004,no_optimizer,20.99245722
FD004,no_optimizer,22.14324721
FD004,no_optimizer,22.86113377
FD004,no_optimizer,18.98476172
FD004,no_optimizer,20.99997241
FD004,BCTA_only,20.03827004
FD004,BCTA_only,21.17151529
FD004,BCTA_only,20.4722423
FD004,BCTA_only,19.72229119
FD004,BCTA_only,21.07524171
FD004,BCTA_only,20.89246271
FD004,BCTA_only,21.11629235
FD004,BCTA_only,19.4048317
FD004,BCTA_only,20.33312833
FD004,BCTA_only,20.37372434
FD004,BCTA+BTCN,19.6958896
FD004,BCTA+BTCN,19.5360386
FD004,BCTA+BTCN,19.48594305
FD004,BCTA+BTCN,22.56503897
FD004,BCTA+BTCN,19.26811553
FD004,BCTA+BTCN,20.00839214
FD004,BCTA+BTCN,21.04254989
FD004,BCTA+BTCN,20.11911671
FD004,BCTA+BTCN,20.10436866
FD004,BCTA+BTCN,18.57454686
