engine_id,model_size,rmse
FD001,3.72Mb,11.83181708
FD001,3.72Mb,13.14018634
FD001,3.72Mb,12.62562758
FD001,3.72Mb,11.10561177
FD001,3.72Mb,11.53534529
FD001,3.72Mb,12.39608451
FD001,3.72Mb,10.75008688
FD001,3.72Mb,12.23399158
FD001,3.72Mb,13.45779215
FD001,3.72Mb,11.18574195
FD001,2.15Mb,11.8083968
FD001,2.15Mb,11.86174694
FD001,2.15Mb,10.74167217
FD001,2.15Mb,11.74611231
FD001,2.15Mb,11.33318229
FD001,2.15Mb,13.22088885
FD001,2.15Mb,13.67991126
FD001,2.15Mb,12.04556386
FD001,2.15Mb,12.48009053
FD001,2.15Mb,13.25494557
FD001,0.12Mb,10.36878964
FD001,0.12Mb,11.67298443
FD001,0.12Mb,12.80370073
FD001,0.12Mb,11.44016886
FD001,0.12Mb,13.14773202
FD001,0.12Mb,13.80152718
FD001,0.12Mb,11.12255326
FD001,0.12Mb,12.44502947
FD001,0.12Mb,11.52303252
FD001,0.12Mb,13.57448185
FD002,3.72Mb,16.23
FD002,3.72Mb,16.12
FD002,3.72Mb,16.54
FD002,3.72Mb,17
FD002,3.72Mb,16.65
FD002,3.72Mb,15.02
FD002,3.72Mb,14.87
FD002,3.72Mb,16.33
FD002,3.72Mb,15.04
FD002,3.72Mb,14.53
FD002,2.15Mb,16.45
FD002,2.15Mb,16.19
FD002,2.15Mb,16.3
FD002,2.15Mb,15.85
FD002,2.15Mb,16.89
FD002,2.15Mb,15.81
FD002,2.15Mb,15.4
FD002,2.15Mb,15.79
FD002,2.15Mb,15.47
FD002,2.15Mb,15.86
FD002,0.12Mb,14.65
FD002,0.12Mb,16.57
FD002,0.12Mb,17.45
FD002,0.12Mb,16.21
FD002,0.12Mb,14.42
FD002,0.12Mb,16.3
FD002,0.12Mb,16.8
FD002,0.12Mb,16.27
FD002,0.12Mb,16.02
FD002,0.12Mb,15.83
FD003,3.72Mb,11.27
FD003,3.72Mb,12.97
FD003,3.72Mb,12.03
FD003,3.72Mb,12.22
FD003,3.72Mb,10.77
FD003,3.72Mb,11.31
FD003,3.72Mb,11.15
FD003,3.72Mb,11.46
FD003,3.72Mb,11.46
FD003,3.72Mb,10.64
FD003,2.15Mb,12.12
FD003,2.15Mb,11.62
FD003,2.15Mb,11.22
FD003,2.15Mb,10.82
FD003,2.15Mb,12.32
FD003,2.15Mb,12.02
FD003,2.15Mb,12.76
FD003,2.15Mb,12.6
FD003,2.15Mb,12.72
FD003,2.15Mb,12.32
FD003,0.12Mb,11.79
FD003,0.12Mb,11.69
FD003,0.12Mb,10.9
FD003,0.12Mb,11.78
FD003,0.12Mb,13.27
FD003,0.12Mb,13.19
FD003,0.12Mb,11.17
FD003,0.12Mb,11.6
FD003,0.12Mb,13.39
FD003,0.12Mb,12.89
FD004,3.72Mb,18.39
FD004,3.72Mb,15.79
FD004,3.72Mb,16.13
FD004,3.72Mb,16.36
FD004,3.72Mb,16.56
FD004,3.72Mb,16.78
FD004,3.72Mb,18.16
FD004,3.72Mb,17.26
FD004,3.72Mb,16.26
FD004,3.72Mb,16.56
FD004,2.15Mb,17.15
FD004,2.15Mb,18.25
FD004,2.15Mb,18.55
FD004,2.15Mb,18.05
FD004,2.15Mb,18.85
FD004,2.15Mb,17.55
FD004,2.15Mb,18.35
FD004,2.15Mb,17.95
FD004,2.15Mb,18.05
FD004,2.15Mb,18.65
FD004,0.12Mb,17.51
FD004,0.12Mb,17.71
FD004,0.12Mb,19.91
FD004,0.12Mb,17.31
FD004,0.12Mb,19.81
FD004,0.12Mb,16.21
FD004,0.12Mb,19.01
FD004,0.12Mb,17.81
FD004,0.12Mb,18.71
FD004,0.12Mb,17.81
