s2,s3,s10,s8,s12,s15,s19,s17,s18,s21,s5,s7,s20,s4,s16,s13,s9,s11,s14,s1,s6
1,0.41627907,0.841860465,0.720930233,0.697674419,0.558139535,0.697674419,0.434108527,0.341085271,0.302325581,0.364341085,0.317829457,0.015503876,0.131782946,0.503875969,0.395348837,0,0.147286822,0.139534884,0.1,0
0.837751004,1,0.648995984,0.702811245,0.678714859,0.86746988,0.694779116,0.718875502,0.489959839,0.497991968,0.293172691,0.34939759,0.465863454,0.40562249,0.024096386,0.293172691,0.093574297,0.036144578,0.008032129,0.03,0
1,1,0.744086022,0.768817204,0.817204301,0.784946237,0.844086022,0.510752688,0.327956989,0.387096774,0.392473118,0.215053763,0.311827957,0.204301075,0.134408602,0.225806452,0,0.048387097,0.059139785,0.07,0
0.930232558,1,0.674418605,0.790697674,0.8,0.939534884,0.674418605,0.660465116,0.43255814,0.674418605,0.213953488,0.237209302,0.460465116,0.446511628,0.181395349,0.153488372,0.18372093,0.009302326,0.079069767,0.06,0
0.892537313,1,0.810447761,0.753731343,0.537313433,0.746268657,0.708955224,0.694029851,0.470149254,0.492537313,0.425373134,0.186567164,0.604477612,0.380597015,0.194029851,0.164179104,0.155223881,0.104477612,0,0.01,0
1,0.85483871,1,0.64516129,0.722580645,0.767741935,0.748387097,0.703225806,0.464516129,0.329032258,0.490322581,0.406451613,0.44516129,0.24516129,0.225806452,0.135483871,0.016129032,0.025806452,0.019354839,0.02,0
0.945454545,1,0.906493506,0.597402597,0.720779221,0.863636364,0.75974026,0.61038961,0.694805195,0.435064935,0.292207792,0.103896104,0.467532468,0.214285714,0.422077922,0.142857143,0.277922078,0.051948052,0.220779221,0.09,0
0.804580153,1,0.995419847,0.79389313,0.519083969,0.778625954,0.641221374,0.770992366,0.351145038,0.450381679,0.389312977,0.389312977,0.488549618,0.312977099,0.022900763,0.328244275,0.089312977,0,0,0.08,0
1,0.400558659,1,0.48603352,0.759776536,0.56424581,0.765363128,0.346368715,0.480446927,0.245810056,0.217877095,0.25698324,0.078212291,0.134078212,0.603351955,0.402234637,0.158100559,0.094972067,0.229050279,0.05,0
1,0.793902439,0.918292683,0.353658537,0.890243902,0.56097561,0.884146341,0.268292683,0.548780488,0.115853659,0.225609756,0.201219512,0.512195122,0.06097561,0.579268293,0.146341463,0,0.12804878,0.134146341,0,0
1,1,0.635059761,0.916334661,0.701195219,0.792828685,0.756972112,0.541832669,0.450199203,0.434262948,0.398406375,0.139442231,0.482071713,0.342629482,0.243027888,0.167330677,0.086454183,0.039840637,0.011952191,0.02,0
1,0.972489083,0.854148472,0.681222707,0.676855895,0.755458515,0.820960699,0.68558952,0.436681223,0.349344978,0.340611354,0.270742358,0.301310044,0.209606987,0.327510917,0.205240175,0.023144105,0.074235808,0.048034934,0,0
1,0.749275362,1,0.516908213,0.647342995,0.666666667,0.734299517,0.628019324,0.618357488,0.140096618,0.439613527,0.169082126,0.502415459,0.115942029,0.362318841,0.265700483,0.115458937,0.086956522,0.053140097,0.09,0
1,0.542774566,1,0.693641618,0.826589595,0.583815029,0.826589595,0.526011561,0.312138728,0.404624277,0.329479769,0.265895954,0.104046243,0.063583815,0.537572254,0.260115607,0,0.052023121,0.144508671,0.08,0
0.95026455,1,0.839153439,0.841269841,0.830687831,0.925925926,0.857142857,0.767195767,0.566137566,0.555555556,0.312169312,0.216931217,0.465608466,0.275132275,0.312169312,0.063492063,0.229100529,0.005291005,0.015873016,0.09,0
0.937313433,1,0.997014925,0.746268657,0.768656716,0.723880597,0.828358209,0.447761194,0.574626866,0.23880597,0.5,0.268656716,0.656716418,0.179104478,0.111940299,0.171641791,0,0.007462687,0.014925373,0.09,0
1,1,0.7125,0.84375,0.88125,0.8875,0.7125,0.43125,0.3625,0.29375,0.475,0.29375,0.44375,0.3125,0.2625,0.11875,0,0.05625,0.05,0,0
1,0.982539683,0.823280423,0.915343915,0.587301587,0.756613757,0.671957672,0.619047619,0.444444444,0.455026455,0.46031746,0.259259259,0.285714286,0.211640212,0.095238095,0.296296296,0,0.042328042,0.037037037,0.01,0
0.784615385,1,0.595804196,0.93006993,0.755244755,0.993006993,0.685314685,0.776223776,0.370629371,0.762237762,0.335664336,0.265734266,0.300699301,0.594405594,0.013986014,0.258741259,0.378321678,0.006993007,0,0.1,0
1,0.785074627,0.870149254,0.843283582,0.76119403,0.701492537,0.731343284,0.71641791,0.052238806,0.589552239,0.358208955,0.52238806,0.119402985,0.432835821,0.037313433,0.268656716,0,0.02238806,0.02238806,0.1,0
0.707692308,1,0.719526627,0.75739645,0.396449704,0.804733728,0.75147929,0.568047337,0.603550296,0.159763314,0.692307692,0.177514793,0.49112426,0.284023669,0.106508876,0.390532544,0.20887574,0.029585799,0.00591716,0.09,0
1,0.724418605,0.987209302,0.715116279,0.691860465,0.738372093,0.843023256,0.48255814,0.523255814,0.220930233,0.337209302,0.197674419,0.296511628,0.11627907,0.470930233,0.191860465,0.031395349,0.087209302,0.104651163,0.09,0
0.886910995,1,0.667015707,0.863874346,0.617801047,0.858638743,0.80104712,0.633507853,0.54973822,0.534031414,0.387434555,0.089005236,0.429319372,0.256544503,0.136125654,0.19895288,0.24973822,0.073298429,0.020942408,0.1,0
0.803508772,0.908187135,0.809356725,0.678362573,0.666666667,0.929824561,0.742690058,0.748538012,0.573099415,0.590643275,0.187134503,0.175438596,0.497076023,0.292397661,0.152046784,0.228070175,0.349122807,0.005847953,0.023391813,0.08,0
1,0.683783784,0.859459459,0.8,0.843243243,0.616216216,0.805405405,0.481081081,0.405405405,0.345945946,0.286486486,0.259459459,0.183783784,0.189189189,0.443243243,0.286486486,0.013513514,0.021621622,0.145945946,0.05,0
1,1,0.94491018,0.652694611,0.796407186,0.724550898,0.862275449,0.497005988,0.497005988,0.347305389,0.401197605,0.251497006,0.395209581,0.191616766,0.221556886,0.185628743,0,0.083832335,0.041916168,0.08,0
0.98974359,1,0.746153846,0.698717949,0.801282051,0.974358974,0.756410256,0.698717949,0.557692308,0.538461538,0.179487179,0.166666667,0.378205128,0.243589744,0.403846154,0.166666667,0.155128205,0.006410256,0.153846154,0.09,0
1,0.505555556,0.861111111,0.5,0.688888889,0.444444444,0.794444444,0.35,0.4,0.133333333,0.205555556,0.355555556,0.061111111,0.216666667,0.5,0.388888889,0.033333333,0.172222222,0.083333333,0.02,0
0.873282443,1,1,0.79389313,0.755725191,0.770992366,0.79389313,0.603053435,0.748091603,0.152671756,0.366412214,0.229007634,0.770992366,0.160305344,0.175572519,0.190839695,0.104580153,0,0.061068702,0.01,0
0.893150685,1,0.995890411,0.815068493,0.636986301,0.719178082,0.787671233,0.48630137,0.54109589,0.239726027,0.376712329,0.205479452,0.534246575,0.198630137,0.143835616,0.226027397,0.124657534,0.01369863,0.068493151,0.1,0
0.988235294,1,0.644582043,0.823529412,0.6625387,0.857585139,0.665634675,0.575851393,0.424148607,0.566563467,0.39628483,0.241486068,0.352941176,0.442724458,0.142414861,0.256965944,0.049845201,0.046439628,0.024767802,0.02,0
0.997701149,0.863218391,0.748659004,0.697318008,0.727969349,0.812260536,0.743295019,0.639846743,0.325670498,0.567049808,0.214559387,0.329501916,0.218390805,0.344827586,0.264367816,0.314176245,0.052490421,0.088122605,0.091954023,0.05,0
1,0.997142857,0.742857143,0.725714286,0.845714286,0.88,0.737142857,0.651428571,0.451428571,0.571428571,0.24,0.262857143,0.274285714,0.297142857,0.382857143,0.222857143,0.1,0.011428571,0.16,0.04,0
1,0.937837838,1,0.686486486,0.697297297,0.713513514,0.697297297,0.583783784,0.540540541,0.362162162,0.427027027,0.178378378,0.286486486,0.183783784,0.372972973,0.27027027,0,0.059459459,0.010810811,0.04,0
0.871590909,0.794318182,0.9,0.698863636,0.693181818,0.9375,0.869318182,0.698863636,0.710227273,0.5,0.261363636,0.130681818,0.289772727,0.193181818,0.318181818,0.096590909,0.325,0.011363636,0.125,0.08,0
1,0.655191257,1,0.655737705,0.732240437,0.710382514,0.863387978,0.546448087,0.469945355,0.371584699,0.174863388,0.278688525,0.333333333,0.131147541,0.338797814,0.191256831,0.033333333,0.021857923,0.092896175,0.08,0
1,0.926315789,1,0.673684211,0.715789474,0.715789474,0.842105263,0.6,0.457894737,0.331578947,0.252631579,0.215789474,0.231578947,0.189473684,0.405263158,0.242105263,0,0.042105263,0.063157895,0.06,0
1,0.80955414,1,0.630573248,0.649681529,0.630573248,0.847133758,0.515923567,0.630573248,0.286624204,0.343949045,0.146496815,0.407643312,0.082802548,0.331210191,0.222929936,0.050318471,0.01910828,0.025477707,0.07,0
1,0.846391753,1,0.706185567,0.757731959,0.773195876,0.871134021,0.659793814,0.453608247,0.381443299,0.262886598,0.237113402,0.329896907,0.170103093,0.335051546,0.149484536,0,0.005154639,0.077319588,0.04,0
0.856647399,0.906936416,0.821965318,0.699421965,0.630057803,0.774566474,0.705202312,0.566473988,0.317919075,0.526011561,0.352601156,0.427745665,0.23699422,0.398843931,0.052023121,0.277456647,0,0.040462428,0.01734104,0.02,0
0.92892562,1,0.771900826,0.871900826,0.694214876,0.830578512,0.685950413,0.640495868,0.396694215,0.479338843,0.409090909,0.330578512,0.371900826,0.433884298,0.004132231,0.239669421,0.092561983,0.041322314,0,0.05,0
