s2,s3,s4,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s17,s20,s21
0.18,0.05,0.46,0,0.94,0.77,0.03,0.92,0.21,0.99,0.21,0.03,0.1,0.04,0.98,0.06
0.01,0,0.41,0,0.94,0.61,0.04,0.87,0.09,0.96,0.11,0.01,0.23,0.08,0.98,0
0.13,0.04,0.43,0,0.94,0.72,0.01,0.83,0.05,0.95,0.03,0,0.29,0.29,0.99,0.08
0.11,0.03,0.42,0,0.98,0.66,0.1,0.83,0.04,0.95,0.26,0.02,0.1,0.22,1,0.06
0.16,0.06,0.42,0,0.97,0.87,0.07,0.88,0.28,0.95,0.29,0.01,0.15,0.31,0.98,0.03
0.06,0.09,0.41,0,0.97,0.92,0.07,0.84,0.13,0.99,0.27,0,0.12,0.36,0.98,0.1
0.19,0.05,0.5,0,0.99,0.9,0.02,1,0.28,0.95,0.08,0.01,0.08,0.12,0.98,0
0.16,0,0.4,0,0.99,0.63,0.01,0.86,0.05,0.97,0.2,0.03,0.24,0.35,0.98,0.03
0.11,0.03,0.48,0,0.98,0.93,0.03,0.96,0.12,0.96,0.23,0.03,0.26,0.15,0.98,0.04
0.17,0.03,0.43,0,0.9,0.62,0.07,0.88,0.18,0.98,0.19,0.03,0.2,0.3,1,0.1
0.04,0,0.47,0,0.92,0.72,0,0.9,0.12,0.97,0.17,0.02,0.04,0.18,0.99,0.02
0.15,0.06,0.4,0,0.96,0.72,0.07,0.94,0.02,1,0.06,0.01,0.05,0.34,0.99,0.06
0.01,0.06,0.5,0,0.97,0.87,0.01,0.9,0.24,0.95,0.02,0,0.03,0.19,1,0.03
0.06,0.02,0.49,0,0.95,0.95,0.04,0.95,0.11,0.95,0.06,0,0.13,0.32,1,0.04
0.1,0.01,0.45,0,0.91,0.76,0.06,0.86,0.28,0.98,0.03,0.03,0.24,0.08,1,0.01
0.01,0.05,0.47,0,1,0.68,0.08,1,0.21,0.98,0.26,0.02,0.2,0.3,0.99,0
0.08,0.1,0.41,0,0.91,0.69,0.05,0.88,0.18,0.95,0.17,0.01,0.17,0.23,0.99,0.09
0.1,0.07,0.45,0,0.9,0.69,0.05,0.85,0.11,0.95,0.02,0.01,0.03,0.03,0.99,0.07
0.13,0.02,0.41,0,0.9,0.9,0.02,0.87,0.08,0.99,0.11,0.03,0.29,0.33,0.99,0.01
0.14,0.06,0.46,0,0.98,0.91,0.1,0.88,0.26,0.98,0.23,0.03,0.14,0.35,0.99,0.06
0.06,0.02,0.41,0,0.96,0.76,0.1,0.95,0.04,0.98,0.08,0.03,0.05,0.22,0.98,0
0.11,0.09,0.41,0,0.93,0.94,0.01,0.81,0.16,0.99,0.1,0.01,0.09,0.31,1,0.02
0.12,0.03,0.44,0,0.93,0.85,0.04,0.83,0.24,0.97,0.12,0.03,0.12,0.11,0.98,0.04
0.15,0.07,0.44,0,0.94,0.79,0.07,0.8,0.2,1,0.15,0.01,0.23,0.12,0.98,0.06
0.04,0,0.43,0,0.98,0.68,0.04,0.85,0.12,0.97,0,0.02,0.16,0.12,0.98,0.09
0,0.05,0.41,0,0.91,0.78,0.05,0.85,0.17,0.98,0.09,0.03,0.02,0.21,0.98,0.03
0.16,0.04,0.43,0,0.98,0.62,0,0.84,0.25,0.99,0.15,0.01,0.24,0.18,0.98,0.05
0.07,0.02,0.42,0,0.9,0.6,0.07,0.92,0.15,1,0.22,0,0.23,0.19,0.99,0.06
0.19,0.03,0.41,0,0.96,0.9,0.09,0.82,0.14,0.95,0.3,0,0.08,0.36,0.99,0.02
0.18,0.02,0.43,0,0.98,0.74,0.07,0.8,0.27,0.98,0.29,0.01,0.2,0.03,0.99,0.06
0.06,0.01,0.48,0,0.99,0.64,0.08,0.84,0.18,0.99,0,0,0.03,0.26,1,0.1
0.17,0.08,0.47,0,0.91,0.79,0.01,0.92,0.17,0.99,0.02,0.01,0.11,0.08,1,0.01
0.02,0.02,0.49,0,0.98,0.87,0.02,0.92,0.11,0.97,0.11,0.03,0.16,0.4,1,0.06
0.17,0.08,0.45,0,0.93,0.77,0.05,0.88,0.2,0.99,0.26,0,0.03,0.31,0.99,0.08
0,0.04,0.45,0,0.91,0.73,0.01,0.96,0.03,0.97,0.02,0.01,0.06,0.28,0.99,0.1
0.1,0.1,0.41,0,0.99,0.69,0.05,0.84,0.01,0.96,0.3,0.03,0.18,0.23,0.99,0.01
0.08,0,0.47,0,0.92,0.79,0.06,1,0.22,0.97,0.28,0,0.19,0.13,0.99,0.09
0.2,0.08,0.41,0,0.99,0.68,0.01,1,0.23,0.97,0.11,0.02,0.18,0.25,0.98,0.01
0.01,0.04,0.45,0,0.98,0.7,0,0.86,0.2,0.95,0.22,0.02,0.21,0.33,0.98,0.07
0.02,0.04,0.5,0,0.97,0.76,0.08,0.83,0.23,1,0.15,0.02,0.29,0.19,0.98,0.09
0.08,0.05,0.42,0,0.97,0.6,0.07,0.9,0.26,0.99,0.03,0,0.07,0.12,1,0
0.06,0.06,0.43,0,0.99,0.68,0.06,0.81,0.12,0.99,0.3,0.02,0.21,0.18,0.99,0.02
0.01,0.08,0.5,0,0.94,0.62,0.01,0.99,0.03,0.97,0.27,0.03,0.11,0.38,0.98,0.06
0.09,0.09,0.44,0,0.92,0.63,0.08,0.86,0.17,0.96,0.24,0.01,0.23,0.4,0.98,0.03
0.2,0.09,0.46,0,0.93,0.75,0.06,0.91,0.14,1,0,0,0.29,0.16,1,0.03
0.01,0,0.45,0,0.98,0.9,0.08,0.92,0.16,0.95,0.26,0.03,0.07,0.14,0.99,0.01
0.1,0.06,0.5,0,0.97,0.78,0.08,0.83,0.21,0.96,0.21,0,0.2,0.13,1,0.08
0.06,0.01,0.42,0,0.9,0.8,0.05,0.82,0.05,0.98,0.25,0.02,0.24,0.14,0.99,0.07
0.07,0.03,0.48,0,0.91,0.84,0.08,0.87,0.14,1,0.08,0.02,0.09,0.15,0.99,0.09
0.07,0.06,0.42,0,0.94,0.66,0.09,0.92,0.28,0.98,0.12,0.01,0.2,0.17,1,0
0.13,0.04,0.45,0,0.94,0.88,0.08,0.88,0.04,0.99,0.15,0,0.09,0.07,0.98,0.08
0.07,0.05,0.49,0,0.93,0.72,0.01,1,0.15,0.99,0.15,0.03,0.05,0.4,0.99,0.05
0.05,0.1,0.5,0,0.92,0.71,0.04,1,0.3,0.99,0.28,0.01,0.07,0.24,1,0.01
0.01,0.04,0.47,0,0.95,0.73,0.06,0.87,0.14,0.99,0.21,0.01,0.17,0.01,0.99,0.06
0.04,0.08,0.43,0,0.94,0.65,0.05,0.9,0.13,0.97,0.29,0.03,0.28,0.38,0.98,0.1
0.13,0.02,0.5,0,0.96,0.66,0,0.8,0.04,0.99,0.23,0,0.21,0.27,1,0.04
0.19,0,0.48,0,1,0.62,0.04,0.82,0.02,0.99,0.03,0.01,0.08,0.18,0.98,0.06
0.12,0.03,0.42,0,0.93,0.65,0.02,0.85,0.05,0.95,0.1,0,0.05,0.14,0.98,0.02
0.19,0.07,0.47,0,0.97,0.66,0.04,0.84,0.28,0.97,0.11,0.03,0.06,0.04,0.99,0.1
0.18,0.01,0.42,0,0.9,0.9,0.09,1,0.2,0.96,0.25,0.01,0,0.12,0.98,0.1
0.06,0.05,0.41,0,0.9,0.73,0.09,0.91,0.07,1,0.25,0,0.3,0.21,0.99,0.05
0.18,0.02,0.47,0,0.9,0.75,0.02,0.97,0.26,0.98,0.27,0,0.27,0.05,0.99,0.03
0.03,0.05,0.41,0,0.93,0.7,0.04,0.93,0.09,0.99,0.06,0.02,0.07,0.37,0.99,0.09
0.18,0,0.47,0,0.98,0.79,0.02,0.93,0.18,1,0.12,0.01,0.01,0.06,1,0.04
0.07,0.04,0.48,0,1,0.92,0.01,0.83,0.26,0.99,0.23,0.02,0.05,0.04,0.99,0.1
0.16,0,0.49,0,0.94,0.68,0,0.88,0,0.99,0.11,0.01,0.03,0.09,1,0.03
0.18,0.03,0.4,0,0.96,0.74,0,1,0.18,1,0.07,0.01,0.29,0.15,0.98,0.06
0.06,0.06,0.5,0,0.95,0.61,0.09,0.98,0.14,1,0.09,0.03,0.18,0.3,1,0
0.16,0.04,0.45,0,0.93,0.73,0.07,0.88,0.13,1,0.13,0.01,0.17,0.2,1,0.09
0.01,0.06,0.47,0,1,0.78,0.03,0.87,0.04,0.97,0.04,0.01,0.25,0.23,1,0
0.05,0.1,0.5,0,0.96,0.94,0.07,0.86,0.18,0.98,0.16,0.02,0.29,0.23,1,0.05
0.02,0,0.49,0,0.93,0.92,0.06,0.8,0.28,1,0.06,0,0.14,0.24,0.99,0.08
0.02,0.07,0.47,0,0.94,0.77,0.08,0.99,0.03,0.97,0.14,0.02,0,0.04,0.99,0.01
0.17,0.03,0.4,0,0.96,0.93,0.02,0.89,0.17,0.96,0.02,0,0.15,0.35,0.99,0.07
0.19,0.03,0.48,0,0.92,0.9,0.07,0.95,0.01,0.97,0.1,0.01,0.11,0.25,0.99,0.05
0.06,0.09,0.5,0,0.9,0.85,0.04,0.97,0.15,0.97,0.29,0.02,0.2,0.01,0.98,0.07
0.02,0.08,0.44,0,0.91,0.6,0.01,0.88,0.16,0.96,0.13,0.02,0.29,0.38,0.99,0.04
